sample_id,language,tokens,chars,content_type,edit_class,session_source,edit_distance_norm
fa76d947-bd5d-4669-9414-a6129f575988,uk,126,236,prose,substantive_rewrite,claude_code_transcript,0.9530
2b1bcfb4-59ab-4511-989a-7385c6b12c09,uk,62,134,prose,substantive_rewrite,claude_code_transcript,0.8806
01983ca8-2f4b-4b91-8ab8-efb0a9eeacd0,en,14,78,prose,substantive_rewrite,claude_code_transcript,0.6923
4ee77372-a6a6-43fe-a8a6-e68a49e9203d,unknown,10,15,prose,substantive_rewrite,claude_code_transcript,0.9487
524a731c-39ff-429a-b840-b636d83b67f0,en,15,67,prose,substantive_rewrite,claude_code_transcript,0.6628
ea954880-7f8f-42d3-bfa3-ed899e7a3e18,en,8,31,prose,substantive_rewrite,claude_code_transcript,0.7831
c6662016-e929-47bc-bb0f-9be1a401ef10,uk,55,117,prose,substantive_rewrite,claude_code_transcript,0.8014
35d60bec-5e23-4a1f-9471-cf7e0e9ca5e4,en,4,25,prose,substantive_rewrite,claude_code_transcript,0.7600
2bf78335-4221-4c81-b20f-f016c91461bc,ru,26,59,prose,substantive_rewrite,claude_code_transcript,0.8558
985db308-d995-4d8c-b0ee-82a5162c465a,en,49,158,prose,substantive_rewrite,claude_code_transcript,0.8165
048969b8-2c53-4b3d-b658-719ccffed912,en,11,52,prose,substantive_rewrite,claude_code_transcript,0.7241
72a4e1cf-42d8-43d0-986e-2cea2c1963bf,en,17,90,prose,substantive_rewrite,claude_code_transcript,0.8290
1fc78901-da04-451c-808f-8a3754f6e99d,en,32,154,prose,substantive_rewrite,claude_code_transcript,0.6623
f250167c-821a-4b36-b835-97bb174a2f26,en,8,34,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.8065
92aa6cae-0178-4019-bb84-b6eadf9b7ce7,ru,207,512,prose,substantive_rewrite,claude_code_transcript,0.9863
f3ae7a8a-14bd-4f87-985a-3a7a0ed1ca7e,uk,171,361,prose,substantive_rewrite,claude_code_transcript,0.8747
fb12ff9f-427d-4554-a606-ac2c8b6ab57a,en,17,99,prose,substantive_rewrite,claude_code_transcript,0.8687
b3ec5d78-635c-4398-aacf-9f465c82b03b,ru,564,1431,structured,substantive_rewrite,claude_code_transcript,0.9634
fc6f215d-d751-48ac-9535-45a62339a3be,ru,21,64,prose,substantive_rewrite,claude_code_transcript,0.5781
040744eb-cd5d-47a6-be54-825df2989c5b,ru,126,287,prose,substantive_rewrite,claude_code_transcript,0.9650
0983e6de-4cc3-471e-812d-5fc3f5b891a5,nl,358,856,prose,substantive_rewrite,claude_code_transcript,0.9614
f2eae89b-5941-46f9-98a6-9f8eed759413,en,22,84,prose,substantive_rewrite,claude_code_transcript,0.8810
3d92e696-71e0-4b1c-84a5-58bb2858ea44,en,9,35,prose,substantive_rewrite,claude_code_transcript,0.7321
02d3a266-d1dc-4714-a673-0b2820dae94d,no,9,25,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.8718
bc9b992d-8d2c-4f51-b383-0cd1a330702f,en,14,70,prose,substantive_rewrite,claude_code_transcript,0.8415
589d6059-3ffa-4761-a9a1-81e7187618d8,en,13,53,prose,substantive_rewrite,claude_code_transcript,0.9458
68a109c3-e0fd-4fa2-8aa5-57a3008cf5ca,ru,15,41,prose,substantive_rewrite,claude_code_transcript,0.7925
4d86d178-629d-47ec-9e13-55ed2dfbf772,en,26,113,prose,substantive_rewrite,claude_code_transcript,0.7403
1b4122aa-e308-4e97-a012-9b746b34e139,et,35,73,prose,substantive_rewrite,claude_code_transcript,0.9589
cd37d9a2-11e8-4a79-868c-0d4e22113962,ru,40,100,prose,substantive_rewrite,claude_code_transcript,0.9184
7081d693-839f-4442-9623-58b93a7d0098,ru,32,90,prose,substantive_rewrite,claude_code_transcript,0.9333
5796075e-aa29-4740-b239-6eb59445bdc8,en,17,90,prose,substantive_rewrite,claude_code_transcript,0.8851
4237995d-89cf-4b2b-8276-75a1df1846c6,en,39,192,prose,substantive_rewrite,claude_code_transcript,0.7557
83c5d9f7-ac3c-4f68-820d-7042eb753119,en,14,78,prose,substantive_rewrite,claude_code_transcript,0.6543
21140ace-5e70-4953-b77a-d71e11a52572,en,12,68,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.7674
b51fc123-f03a-4a11-80d8-0fe328aec992,ru,299,737,prose,substantive_rewrite,claude_code_transcript,0.9986
103078f3-a10b-47d8-93e2-383fcf36708a,ru,44,126,prose,substantive_rewrite,claude_code_transcript,0.8333
2ed18a69-7b4f-496b-9633-2602a8b7a519,uk,40,81,prose,substantive_rewrite,claude_code_transcript,0.8642
523bf1b2-3c00-42db-8711-fafafb202eb3,bg,22,53,prose,substantive_rewrite,claude_code_transcript,0.9068
579a2f3c-82d7-4880-a096-46aabddfdadd,ru,46,126,prose,substantive_rewrite,claude_code_transcript,0.8333
aab37531-5901-4d06-bd6a-23346227731d,en,54,192,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.7752
a264c598-2dd1-4eaa-9fe5-43bb7a8f9cc0,en,247,562,prose,substantive_rewrite,claude_code_transcript,0.8536
573c64ed-dd55-44a7-ba5e-d6052dd5d2e0,ru,200,433,prose,substantive_rewrite,claude_code_transcript,0.9327
f30bf52a-575b-4ecc-b7fa-4689d11890af,ru,14,36,prose,substantive_rewrite,claude_code_transcript,0.8945
dbebf1fc-77b6-45c3-80cf-e1e18c70fa80,en,17,75,prose,substantive_rewrite,claude_code_transcript,0.8094
d24ce76c-d2d7-40c6-b4b6-26e2cf11250c,uk,38,77,prose,substantive_rewrite,claude_code_transcript,0.8565
a65f333d-45ba-4385-923e-7f96bef8af1e,ru,35,91,prose,substantive_rewrite,claude_code_transcript,0.7912
4c4eacc3-2ce9-4ca5-b41e-ad0fbe62cb15,en,121,253,structured,substantive_rewrite,claude_code_transcript,0.9669
b64a7626-6330-492a-b6f8-959a55c65718,en,12,70,prose,substantive_rewrite,claude_code_transcript,0.7701
6757fde4-a8cd-4b2d-ae92-b2419197fca3,en,14,73,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.5976
a7517059-296c-4b9c-9dcb-92daf85b7e04,ru,29,68,prose,substantive_rewrite,claude_code_transcript,0.9420
43afa42f-3cfa-4c9e-9c4e-f4bc24a9e34f,uk,41,76,prose,substantive_rewrite,claude_code_transcript,0.8476
41836f92-4e06-4547-a482-a7fc4fbb3932,ru,742,1896,prose,substantive_rewrite,claude_code_transcript,0.9904
bd4642a4-dd5a-4d2b-b462-93b4672596cf,ru,125,336,prose,substantive_rewrite,claude_code_transcript,0.9375
1b62637d-7258-42ea-b00e-ad46c7315769,en,23,110,prose,substantive_rewrite,claude_code_transcript,0.7545
146e436e-5ae2-4598-8b16-0b87bd09b1ef,en,139,512,prose,substantive_rewrite,claude_code_transcript,0.8885
b5004c20-8903-4d2b-9e4d-8e4b88bd7197,ru,57,176,prose,substantive_rewrite,claude_code_transcript,0.7487
d72a55cb-0203-4e9b-b77b-0ea68dbbcd22,bg,34,101,prose,substantive_rewrite,claude_code_transcript,0.8614
805e12f9-1e09-4746-8fca-22d22783b969,ru,33,60,prose,substantive_rewrite,claude_code_transcript,0.9259
c14bdba1-8b5f-4f71-a367-824e17713b77,ru,34,74,prose,substantive_rewrite,claude_code_transcript,0.8243
006669d7-6506-43f6-b83e-acfac3560652,uk,124,259,prose,substantive_rewrite,claude_code_transcript,0.7606
9bd5c7c7-d550-4d55-9260-89099f8ef4a5,en,30,154,prose,substantive_rewrite,claude_code_transcript,0.8312
d7df8485-aa8c-4e0d-9ee4-2764ec39e05a,ru,17,34,prose,substantive_rewrite,claude_code_transcript,0.9916
ade65d39-5645-443b-b2bb-8d4cce0de778,en,9,45,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.6636
fcee073e-2367-4828-a364-986788c3de36,en,133,403,prose,substantive_rewrite,claude_code_transcript,0.9302
5d82799c-ffb3-42d5-9b06-a364d2146197,en,55,224,prose,substantive_rewrite,claude_code_transcript,0.9554
7e90f0d9-616a-4502-adfc-ec1388f620c5,en,10,40,prose,substantive_rewrite,claude_code_transcript,0.6866
19b0e276-7998-4800-bff1-c9450ef3c337,ru,181,473,prose,substantive_rewrite,claude_code_transcript,0.9788
7fda9fd9-8ee1-40e7-9ccd-f18b98a11943,ru,49,144,prose,substantive_rewrite,claude_code_transcript,0.8294
92433c58-2807-406c-b044-1f86c2928446,uk,82,170,prose,substantive_rewrite,claude_code_transcript,0.8471
062c17ce-f941-408e-8a00-927963c84658,en,80,342,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.7361
686f5064-d3de-4b8d-8de5-4d8935a53196,en,6,28,prose,substantive_rewrite,claude_code_transcript,0.9362
dbccfe0a-9e16-4be1-81fd-eb57370b8379,ru,29,50,prose,substantive_rewrite,claude_code_transcript,0.7600
5745490a-05fe-4ec0-9967-8a338a3e9af1,ru,98,233,prose,substantive_rewrite,claude_code_transcript,0.9782
85fe0dce-f00a-4174-a41d-15fe7131283a,ru,19,37,prose,substantive_rewrite,claude_code_transcript,0.7727
e21fd3da-feca-4c6a-b901-6b63548a51ab,en,22,98,prose,substantive_rewrite,claude_code_transcript,0.7959
d2027ad7-5060-4895-a74c-7a43b7d227e0,ru,48,154,prose,substantive_rewrite,claude_code_transcript,0.7961
c376b847-5573-490c-94fc-b20d258a42ca,en,16,64,prose,substantive_rewrite,claude_code_transcript,0.7656
7677024d-ee1f-4300-ba3b-58b60ce0ea90,uk,376,703,prose,substantive_rewrite,claude_code_transcript,0.9986
c1c2be11-f7d4-4fde-8009-749e14e3221c,ru,50,106,prose,substantive_rewrite,claude_code_transcript,0.8146
3b468361-4e00-4a36-b2ba-0a2d7ebb17d3,ru,76,210,prose,substantive_rewrite,claude_code_transcript,0.7952
f40689b1-dff5-4815-a19f-c6c2751d0ef4,en,18,88,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.7520
c8682230-78d8-49c1-8211-5aca9e772a09,ru,156,409,prose,substantive_rewrite,claude_code_transcript,0.8333
7fd1909f-6854-407f-a05c-1535391c0aac,en,18,75,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.7360
970f486f-034a-446d-954f-708c4506bc35,ru,29,70,prose,substantive_rewrite,claude_code_transcript,0.7857
3a9b47c1-eb14-41d7-a9ff-93c3b8584bf5,ru,132,338,prose,substantive_rewrite,claude_code_transcript,0.9672
c31c5e7c-623e-43ec-b57b-0cb67ff89062,en,349,1023,prose,substantive_rewrite,claude_code_transcript,0.9980
3ac97ee8-af41-4cf9-95cf-a159f9858c4e,uk,90,168,prose,substantive_rewrite,claude_code_transcript,0.8776
3ea23ceb-a56c-467f-b933-fdd3e7bb73d2,en,6,25,prose,substantive_rewrite,claude_code_transcript,0.9787
e68e00b2-36e6-4173-a682-b779d6d06d52,en,90,183,structured,substantive_rewrite,claude_code_transcript,0.9138
87b06a51-8168-4334-9333-9c5593f3751b,en,96,431,prose,substantive_rewrite,claude_code_transcript,0.8298
5384d5d5-21fe-48e6-a793-f1685fe9df97,en,11,47,prose,substantive_rewrite,claude_code_transcript,0.9900
dcc96795-ce72-4e2d-a238-8377e52d36dc,uk,64,114,prose,substantive_rewrite,claude_code_transcript,0.8351
54c77ff4-90cf-4a29-b199-da5d25474920,en,15,74,prose,substantive_rewrite,claude_code_transcript,0.9839
1c62c55e-c3cb-4127-a6ea-69ea4b2ac182,en,20,77,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.7972
baee2e9e-6f34-4ecf-a0bd-08943fd6aaba,en,21,105,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.8569
d650c1e9-0112-42d4-a604-832a428892d9,en,21,116,prose,substantive_rewrite,claude_code_transcript,0.8203
40c70c23-d0e0-4363-98ae-76cfec909d4f,en,42,192,prose,substantive_rewrite,claude_code_transcript,0.8707
36fb5f96-d56e-4846-8c39-d01190b2d08a,ru,54,117,prose,substantive_rewrite,claude_code_transcript,0.9487
0474a3e4-884b-4ed5-9a55-335e3b3c5196,en,16,63,prose,substantive_rewrite,claude_code_transcript,0.9458
f8a21bee-7129-41c1-acd3-8f6ed2939069,en,12,48,prose,substantive_rewrite,claude_code_transcript,0.9862
d3ddc1f5-43ce-469b-bd96-05b0c3be66b5,fr,21,46,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.7477
eb3dc7c8-e71d-47dd-9ff1-d3f054dd3570,ru,53,125,prose,substantive_rewrite,claude_code_transcript,0.8710
b3484807-71d6-43c1-8ab7-419878e9a8f2,ru,56,131,prose,substantive_rewrite,claude_code_transcript,0.8873
edd7f9c8-a9ff-4dbd-9f3a-fe439fc12500,en,26,139,prose,cosmetic,claude_code_transcript,0.6763
10ade893-8dcb-4c63-9b53-a3298f0cb63b,en,23,101,mixed_prose_code,cosmetic,claude_code_transcript,0.7129
73939dcd-0dd6-4998-9e26-bcd6e4032235,en,708,2852,structured,cosmetic,claude_code_transcript,0.2989
e3764988-9f23-43d6-940a-4b1442539644,ru,24,63,prose,cosmetic,claude_code_transcript,0.7105
42ed48f2-c065-439c-bd08-d1981f938672,en,11,50,mixed_prose_code,cosmetic,claude_code_transcript,0.6800
3bb8bb6e-4216-46fc-834e-466db6aebe82,en,14,71,mixed_prose_code,cosmetic,claude_code_transcript,0.4789
43c54214-feb9-4a35-9cd9-71bb27d171eb,en,75,235,prose,cosmetic,claude_code_transcript,0.0000
8c1a00f7-f439-4c32-86c3-005ff9f7aaa9,en,14,77,mixed_prose_code,cosmetic,claude_code_transcript,0.6234
a3d9cf26-e730-468e-8698-6c63ac2c5970,en,15,63,mixed_prose_code,cosmetic,claude_code_transcript,0.7206
ba8a37b8-01e1-4b08-ab6f-4c05c0343d16,en,62,257,prose,cosmetic,claude_code_transcript,0.0000
ec59f063-d233-479e-928a-ba97fb322d7a,en,91,372,prose,cosmetic,claude_code_transcript,0.0000
db4ac7a2-86d6-4433-b780-8006862e9234,ru,64,160,prose,cosmetic,claude_code_transcript,0.0000
e01e0f66-55a1-4b52-ad0e-7b10203726d5,en,18,95,mixed_prose_code,cosmetic,claude_code_transcript,0.5263
ea916059-e97b-42c3-b6dc-85062bd41269,en,452,1380,structured,cosmetic,claude_code_transcript,0.0000
ea1ded7e-e26e-4fc0-84bd-e6c970710b2a,en,26,136,mixed_prose_code,cosmetic,claude_code_transcript,0.6691
84befd5a-a07a-4915-9fea-2eda82dd84c9,en,28,134,prose,reorganization,claude_code_transcript,0.7090
549a6170-55de-4389-a2f6-b891394bf815,en,44,173,prose,reorganization,claude_code_transcript,0.7919
a9f31408-131e-4fc5-8d17-5f60e4fc3410,en,12,57,prose,reorganization,claude_code_transcript,0.7193
e5256098-51f4-4322-9512-5eebfb4a35bc,en,15,84,prose,reorganization,claude_code_transcript,0.7525
2e25f780-17b5-4f06-b4a1-64380c6b6902,en,21,110,prose,reorganization,claude_code_transcript,0.7455
73de261d-469c-49c3-9c7a-671a5fd3d064,en,11,51,mixed_prose_code,reorganization,claude_code_transcript,0.5769
01256905-1d47-4d5a-8cbe-efadf529b9c9,en,15,91,prose,reorganization,claude_code_transcript,0.5934
c0907774-fb1b-4121-bba3-d5ec7275d748,en,10,49,prose,reorganization,claude_code_transcript,0.7255
1c81bbc1-0649-454f-a5cd-335b43566bdd,ru,81,184,prose,reorganization,claude_code_transcript,0.7880
e567ebb6-0643-4df4-83b8-4240a985cbff,en,14,63,prose,reorganization,claude_code_transcript,0.6667
eff17288-82ae-4d0d-a78e-418b5415645f,en,92,380,prose,reorganization,claude_code_transcript,0.7672
